"location_id","location","parameter","value","date_utc","unit","lat","long","country"
10494,"Alphington","pm25",9.91,2024-08-29 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.9,2024-08-29 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.62,2024-08-29 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.04,2024-08-29 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.92,2024-08-29 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",12.03,2024-08-29 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",12.66,2024-08-29 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.7,2024-08-29 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.48,2024-08-29 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",9.43,2024-08-29 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",11.7,2024-08-29 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.58,2024-08-29 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",11.13,2024-08-29 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.8,2024-08-29,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",11.43,2024-08-28 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.84,2024-08-28 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.05,2024-08-28 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.91,2024-08-28 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.43,2024-08-28 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",9.63,2024-08-28 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",12.9,2024-08-28 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.08,2024-08-28 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.95,2024-08-28 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.46,2024-08-28 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.71,2024-08-28 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.02,2024-08-28 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.49,2024-08-28 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.28,2024-08-28 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-28 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.75,2024-08-28 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.39,2024-08-28 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.87,2024-08-28 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.16,2024-08-28 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",9.62,2024-08-28 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.66,2024-08-28 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.99,2024-08-28 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.46,2024-08-28 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.06,2024-08-28,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.66,2024-08-27 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.72,2024-08-27 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.73,2024-08-27 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.11,2024-08-27 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-27 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.9,2024-08-27 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.22,2024-08-27 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-27 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0.16,2024-08-27 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.04,2024-08-27 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.2,2024-08-27 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.31,2024-08-27 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0.76,2024-08-27 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.35,2024-08-27 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.73,2024-08-27 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-27 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.07,2024-08-27 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.65,2024-08-27 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.78,2024-08-27 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.45,2024-08-27 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.76,2024-08-27 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.82,2024-08-27 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
